Nome,Pais,success,attempts
Gonzalez-Lopez,DOM,0,0
Martinez-Caro,DOM,0,0
Tainara,BRA,0,0
Helena,BRA,0,0
Daalderop,NED,0,0
Lazovic,SRB,0,0
N. Jidapa,THA,0,0
K. Ajcharaporn,THA,0,0
K. Kuttika,THA,0,0
B. Tichakorn,THA,0,0
Thaisa,BRA,0,0
Fedusio,POL,0,0
Czyrniańska,POL,0,0
Smarzek,POL,0,0
Centka,POL,0,0
Jurczyk,POL,0,0
Mijatovic,SRB,0,0
Hentz,USA,0,0
Thompson,USA,0,0
Washington,USA,0,1
Rettke,USA,0,1
O'Neal,USA,0,0
Plummer,USA,0,0
Lanier,USA,0,0
Lubian,ITA,0,0
De Gennaro,ITA,0,0
Sylla,ITA,0,0
Egonu,ITA,0,0
Fahr,ITA,0,0
Cazaute,FRA,0,0
Bauer,FRA,0,0
Haewegene,FRA,0,0
Gelin,FRA,0,2
H. Jasper,NED,0,0
Zhu T.,CHN,0,0
Racheva,BUL,0,0
Nikolova M.,BUL,0,0
Weske,GER,0,2
Grozer,GER,0,0
Erdem,TUR,0,0
Drews,USA,0,0
Cook,USA,0,1
Giovannini,ITA,0,0
Kohn,GER,0,0
Zhuang Y.S.,CHN,0,0
Vidačić,SRB,0,0
Medved,SRB,0,0
Šućurović,SRB,0,0
Gocanin,SRB,0,0
Cvetkovic,SRB,0,0
Tica,SRB,0,0
Čikuc,SRB,0,0
Suyeon,KOR,0,0
Różański,POL,0,0
Lorenne,BRA,0,0
